,mean_s1,median_s1,count_s1,polygon_id,filename_s1,polarization,local_incidence_angle,date_s1,s2_date,mean_s2,median_s2,count_s2,filename_s2,date_s2,primary_class,primary_class_fraction,secondary_class,secondary_class_fraction
35,-11.911605834960938,-11.816605567932129,921,90,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.29519271850586,20231220,20231225,0.8089614,0.81308913230896,773,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,No cropland,1.0,,
36,-11.876179695129395,-11.785264015197754,1646,91,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.369384765625,20231220,20231225,0.68234956,0.6804018020629883,1382,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,No cropland,1.0,,
37,-8.867233276367188,-8.807186126708984,4003,92,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.314453125,20231220,20231225,0.848755,0.8593877553939819,3360,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
38,-8.384894371032715,-8.245499610900879,985,93,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.36567306518555,20231220,20231225,0.8477149,0.8760734796524048,828,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,0.9908256880733946,No cropland,0.009174311926605505
39,-9.025605201721191,-8.932111740112305,7233,94,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.201839447021484,20231220,20231225,0.85699886,0.8802902102470398,6069,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
40,-9.246805191040039,-9.067419052124023,1829,95,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.23567581176758,20231220,20231225,0.7607704,0.7648652791976929,1540,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
41,-9.082427024841309,-9.006315231323242,4127,96,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.33931350708008,20231220,20231225,0.6424287,0.6480592489242554,3466,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
42,-12.058156967163086,-12.01494026184082,3539,97,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.27322769165039,20231220,20231225,0.34114224,0.34038397669792175,2976,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
43,-13.057292938232422,-12.936351776123047,3403,98,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.378387451171875,20231220,20231225,0.29670033,0.24600963294506073,2861,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,0.8521505376344086,No cropland,0.1478494623655914
44,-7.442565441131592,-7.39371395111084,2359,99,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.466087341308594,20231220,20231225,0.8963168,0.9053230285644531,1979,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
45,-9.709858894348145,-9.607903480529785,3927,100,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.5244255065918,20231220,20231225,0.8253219,0.8286266922950745,3295,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
46,-12.075661659240723,-11.923921585083008,3520,101,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.494834899902344,20231220,20231225,0.21440259,0.19138522446155548,2961,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,0.6461538461538462,Soybean,0.33589743589743587
47,-8.65395736694336,-8.56008529663086,5440,102,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.65803909301758,20231220,20231225,0.9333319,0.9347347021102905,4572,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
48,-11.624780654907227,-11.45833969116211,3528,103,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.61803436279297,20231220,20231225,0.15852675,0.15656305849552155,2968,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,1.0,,
49,-12.781692504882812,-12.64501953125,8124,104,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.665306091308594,20231220,20231225,0.25374687,0.2503628432750702,6829,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
50,-12.909163475036621,-12.765865325927734,3750,105,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.591590881347656,20231220,20231225,0.25639278,0.2557292580604553,3162,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
51,-8.571603775024414,-8.485655784606934,5033,106,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.597206115722656,20231220,20231225,0.9207351,0.9247967600822449,4233,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
52,-7.658538818359375,-7.615677356719971,3189,107,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,35.4307861328125,20231220,20231225,0.8972557,0.9075250625610352,2684,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,1.0,,
53,-10.914214134216309,-10.72502326965332,4976,108,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.24095916748047,20231220,20231225,0.28617594,0.28829362988471985,4184,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Soybean,0.45585585585585586,Maize,0.34774774774774775
54,-11.074657440185547,-10.97296142578125,2090,109,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.27241516113281,20231220,20231225,0.5531063,0.5539088845252991,1769,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,No cropland,1.0,,
55,-9.483253479003906,-9.356513977050781,4318,110,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.34298324584961,20231220,20231225,0.48141825,0.4920879006385803,3634,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,0.9495798319327731,No cropland,0.05042016806722689
56,-9.683028221130371,-9.26195240020752,6957,111,Subset_S1A_IW_GRDH_1SDV_20231220T093122_20231220T093147_051736_063F9A_1A8A_Orb_NR_Cal_TC_dB,VV,36.337066650390625,20231220,20231225,0.4152924,0.42675545811653137,5861,S2A_MSIL2A_20231225T140701_N0510_R110_T20HNK_20231225T192853.SAFE_NDVI,20231225,Maize,0.9107373868046572,No cropland,0.06597671410090557
